[line 35]	05 янв. 2021 14:02:43,969 [main] INFO  Result/<init> - { status: success, value:  }
[line 277]	05 янв. 2021 14:02:43,970 [main] DEBUG CSVCommonMethods/getInstanceExistenceByField - [getInstanceExistenceByField] Get: Presentation; id: 353038aa-9497-4f1a-ad1e-9e539fe2ecfd
[line 218]	05 янв. 2021 14:02:43,971 [main] DEBUG CSVCommonMethods/getInstanceById - presentation id: 353038aa-9497-4f1a-ad1e-9e539fe2ecfd
[line 66]	05 янв. 2021 14:02:43,972 [main] DEBUG CSVCommonMethods/getCollection - [getCollection] Attempt to get collection: presentation
[line 42]	05 янв. 2021 14:02:43,972 [main] DEBUG CSVCommonMethods/getFilePath - path: D:/Универ/CourseProject/src/main/resources/data/test/csv/presentation.csv
[line 77]	05 янв. 2021 14:02:43,989 [main] INFO  CSVCommonMethods/getCollection - [getCollection] Collection was retrieved: presentation
[line 223]	05 янв. 2021 14:02:43,990 [main] DEBUG CSVCommonMethods/getInstanceById - Attempt to find presentation: 353038aa-9497-4f1a-ad1e-9e539fe2ecfd
[line 224]	05 янв. 2021 14:02:43,991 [main] DEBUG CSVCommonMethods/getInstanceById - list instance: [Presentation{id=353038aa-9497-4f1a-ad1e-9e539fe2ecfd, name='New presentation', fillColor='#ffffff', fontFamily='Roboto'}, Presentation{id=1a1482a5-5eab-4f3c-89cf-1ebfc63ffe6b, name='New presentation [New presentation]', fillColor='#ffffff', fontFamily='Roboto'}, Presentation{id=4fda486c-5973-419d-9a2f-e1b69a606d40, name='New presentation [New presentation]', fillColor='#ffffff', fontFamily='Roboto'}, Presentation{id=f8c4ab48-51e7-47bd-bb8e-cbc8bb465dd5, name='New presentation [New presentation]', fillColor='#ffffff', fontFamily='Roboto'}]
[line 227]	05 янв. 2021 14:02:43,993 [main] DEBUG CSVCommonMethods/getInstanceById - Optional[Presentation{id=353038aa-9497-4f1a-ad1e-9e539fe2ecfd, name='New presentation', fillColor='#ffffff', fontFamily='Roboto'}]
[line 281]	05 янв. 2021 14:02:43,994 [main] DEBUG CSVCommonMethods/getInstanceExistenceByField - Optional[Presentation{id=353038aa-9497-4f1a-ad1e-9e539fe2ecfd, name='New presentation', fillColor='#ffffff', fontFamily='Roboto'}]
[line 407]	05 янв. 2021 14:02:43,996 [main] INFO  CSVElementMethods/getSlideElements - Presentation found: Presentation{id=353038aa-9497-4f1a-ad1e-9e539fe2ecfd, name='New presentation', fillColor='#ffffff', fontFamily='Roboto'}
[line 277]	05 янв. 2021 14:02:43,997 [main] DEBUG CSVCommonMethods/getInstanceExistenceByField - [getInstanceExistenceByField] Get: Slide; id: b3bbca54-6d3b-4bc5-b461-077892546f82
[line 218]	05 янв. 2021 14:02:43,998 [main] DEBUG CSVCommonMethods/getInstanceById - slide id: b3bbca54-6d3b-4bc5-b461-077892546f82
[line 66]	05 янв. 2021 14:02:43,999 [main] DEBUG CSVCommonMethods/getCollection - [getCollection] Attempt to get collection: slide
[line 42]	05 янв. 2021 14:02:44,000 [main] DEBUG CSVCommonMethods/getFilePath - path: D:/Универ/CourseProject/src/main/resources/data/test/csv/slide.csv
[line 77]	05 янв. 2021 14:02:44,014 [main] INFO  CSVCommonMethods/getCollection - [getCollection] Collection was retrieved: slide
[line 232]	05 янв. 2021 14:02:44,016 [main] DEBUG CSVCommonMethods/getInstanceById - Attempt to find slide: b3bbca54-6d3b-4bc5-b461-077892546f82
[line 281]	05 янв. 2021 14:02:44,038 [main] DEBUG CSVCommonMethods/getInstanceExistenceByField - Optional[Slide{id=b3bbca54-6d3b-4bc5-b461-077892546f82, name='Test name', index=0, presentationId=353038aa-9497-4f1a-ad1e-9e539fe2ecfd}]
[line 413]	05 янв. 2021 14:02:44,040 [main] INFO  CSVElementMethods/getSlideElements - Slide found: Slide{id=b3bbca54-6d3b-4bc5-b461-077892546f82, name='Test name', index=0, presentationId=353038aa-9497-4f1a-ad1e-9e539fe2ecfd}
[line 415]	05 янв. 2021 14:02:44,041 [main] DEBUG CSVElementMethods/getSlideElements - Set slide elements
[line 66]	05 янв. 2021 14:02:44,046 [main] DEBUG CSVCommonMethods/getCollection - [getCollection] Attempt to get collection: shape
[line 42]	05 янв. 2021 14:02:44,048 [main] DEBUG CSVCommonMethods/getFilePath - path: D:/Универ/CourseProject/src/main/resources/data/test/csv/shape.csv
[line 77]	05 янв. 2021 14:02:44,083 [main] INFO  CSVCommonMethods/getCollection - [getCollection] Collection was retrieved: shape
[line 66]	05 янв. 2021 14:02:44,086 [main] DEBUG CSVCommonMethods/getCollection - [getCollection] Attempt to get collection: content
[line 42]	05 янв. 2021 14:02:44,087 [main] DEBUG CSVCommonMethods/getFilePath - path: D:/Универ/CourseProject/src/main/resources/data/test/csv/content.csv
[line 25]	05 янв. 2021 14:02:44,711 [pool-8-thread-7] DEBUG Helpers/getFieldFromMather - FIND
[line 25]	05 янв. 2021 14:02:44,711 [pool-8-thread-3] DEBUG Helpers/getFieldFromMather - FIND
[line 25]	05 янв. 2021 14:02:44,711 [pool-8-thread-8] DEBUG Helpers/getFieldFromMather - FIND
[line 25]	05 янв. 2021 14:02:44,711 [pool-8-thread-1] DEBUG Helpers/getFieldFromMather - FIND
[line 25]	05 янв. 2021 14:02:44,711 [pool-8-thread-2] DEBUG Helpers/getFieldFromMather - FIND
[line 25]	05 янв. 2021 14:02:44,711 [pool-8-thread-4] DEBUG Helpers/getFieldFromMather - FIND
[line 26]	05 янв. 2021 14:02:44,714 [pool-8-thread-2] DEBUG Helpers/getFieldFromMather - fontFamily='Product Sans'
[line 26]	05 янв. 2021 14:02:44,714 [pool-8-thread-7] DEBUG Helpers/getFieldFromMather - fontFamily='Product Sans'
[line 26]	05 янв. 2021 14:02:44,714 [pool-8-thread-3] DEBUG Helpers/getFieldFromMather - fontFamily='Product Sans'
[line 26]	05 янв. 2021 14:02:44,714 [pool-8-thread-4] DEBUG Helpers/getFieldFromMather - fontFamily='Product Sans'
[line 26]	05 янв. 2021 14:02:44,715 [pool-8-thread-8] DEBUG Helpers/getFieldFromMather - fontFamily='Product Sans'
[line 28]	05 янв. 2021 14:02:44,715 [pool-8-thread-8] DEBUG Helpers/getFieldFromMather - fontFamily: Product Sans
[line 28]	05 янв. 2021 14:02:44,715 [pool-8-thread-4] DEBUG Helpers/getFieldFromMather - fontFamily: Product Sans
[line 28]	05 янв. 2021 14:02:44,715 [pool-8-thread-3] DEBUG Helpers/getFieldFromMather - fontFamily: Product Sans
[line 28]	05 янв. 2021 14:02:44,715 [pool-8-thread-2] DEBUG Helpers/getFieldFromMather - fontFamily: Product Sans
[line 25]	05 янв. 2021 14:02:44,715 [pool-8-thread-3] DEBUG Helpers/getFieldFromMather - FIND
[line 28]	05 янв. 2021 14:02:44,715 [pool-8-thread-7] DEBUG Helpers/getFieldFromMather - fontFamily: Product Sans
[line 26]	05 янв. 2021 14:02:44,714 [pool-8-thread-1] DEBUG Helpers/getFieldFromMather - fontFamily='Product Sans'
[line 25]	05 янв. 2021 14:02:44,715 [pool-8-thread-8] DEBUG Helpers/getFieldFromMather - FIND
[line 25]	05 янв. 2021 14:02:44,716 [pool-8-thread-4] DEBUG Helpers/getFieldFromMather - FIND
[line 25]	05 янв. 2021 14:02:44,716 [pool-8-thread-2] DEBUG Helpers/getFieldFromMather - FIND
[line 26]	05 янв. 2021 14:02:44,716 [pool-8-thread-3] DEBUG Helpers/getFieldFromMather - fontSize='1.2rem'
[line 25]	05 янв. 2021 14:02:44,716 [pool-8-thread-7] DEBUG Helpers/getFieldFromMather - FIND
[line 26]	05 янв. 2021 14:02:44,717 [pool-8-thread-7] DEBUG Helpers/getFieldFromMather - fontSize='1.2rem'
[line 28]	05 янв. 2021 14:02:44,717 [pool-8-thread-3] DEBUG Helpers/getFieldFromMather - fontSize: 1.2rem
[line 28]	05 янв. 2021 14:02:44,716 [pool-8-thread-1] DEBUG Helpers/getFieldFromMather - fontFamily: Product Sans
[line 26]	05 янв. 2021 14:02:44,716 [pool-8-thread-2] DEBUG Helpers/getFieldFromMather - fontSize='1.2rem'
[line 26]	05 янв. 2021 14:02:44,716 [pool-8-thread-8] DEBUG Helpers/getFieldFromMather - fontSize='1.2rem'
[line 28]	05 янв. 2021 14:02:44,717 [pool-8-thread-2] DEBUG Helpers/getFieldFromMather - fontSize: 1.2rem
[line 25]	05 янв. 2021 14:02:44,717 [pool-8-thread-3] DEBUG Helpers/getFieldFromMather - FIND
[line 28]	05 янв. 2021 14:02:44,718 [pool-8-thread-7] DEBUG Helpers/getFieldFromMather - fontSize: 1.2rem
[line 26]	05 янв. 2021 14:02:44,718 [pool-8-thread-4] DEBUG Helpers/getFieldFromMather - fontSize='1.2rem'
[line 25]	05 янв. 2021 14:02:44,719 [pool-8-thread-1] DEBUG Helpers/getFieldFromMather - FIND
[line 25]	05 янв. 2021 14:02:44,719 [pool-8-thread-7] DEBUG Helpers/getFieldFromMather - FIND
[line 25]	05 янв. 2021 14:02:44,719 [pool-8-thread-2] DEBUG Helpers/getFieldFromMather - FIND
